Nombre,Precio
Portátil Ideapad Slim 3 | AMD Ryzen 5 | 8GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas | IP Slim 3 | Computador Portátil,1699900.0
Portátil LENOVO FHD 156 Intel N4020 RAM 8GB 256GB SSD Silver,1012850.0
PORTATIL INTEL CORE I9-13900H SSD 1TB RAM 40GB LED 16 FULL HD,4339900.0
Portátil Zenbook Duo OLED | Intel Core Ultra 9 | 32GB de RAM | 1TB SSD de almacenamiento | Windows 11 | 14 pulgadas | UX8406MA-PZ026W | Computador portátil,9999900.0
"PORTATIL INTEL CORE I5-12450H SSD 512GB RAM 24GB LED 15,6 FULL HD",1999900.0
Nitro V16 Ryzen 7 8845hs Ram 32gb Ssd 1tb Rtx 4060 8gb,5193020.0
Portatil Gamer Bravo AMD Ryzen 9-7940HS RAM 64GB SSD 1TB RTX 4060 8GB,7159900.0
Portatil Gamer Predator Helios Neo 16 Intel Core i9-14900HX RAM 32GB SSD 1TB RTX 4060,7259900.0
"INSPIRON 15 INTEL CORE I7-1255U SSD 2TB RAM 40GB LED 15,6"" FHD",3443200.0
"ASPIRE INTEL CORE I3-1215U SSD 1TB RAM 24GB LED 15,6 FULL HD",1769900.0
"Portátil Core i9 12900H Ram 32 Disco 1 Tb SSD 15,6 FHD Win 11 Pro.",2499900.0
"G15 INTEL CORE I7-13650HX RTX 4060 8GB SSD 1TB RAM 40GB LED 15,6"" FHD 120Hz",6279900.0
"PORTATIL AMD RYZEN 7-7730U SSD 1TB RAM 40GB LED 15,6 FHD",2980900.0
PORTATIL AMD RYZEN 7-7730U SSD 2TB RAM 40GB LED 16 FULL HD,3209900.0
Portátil IdeaPad 5 2 en 1 AMD Ryzen 5 16GB 512GB 14”,3049900.0
"Portatil TUF Gaming A15 Ryzen 5 7535hs 8gb ram 512Gb ssd RTX 2050 pantalla 15,6"" FHD 144hz",2694020.0
"PORTATIL X1605VA-MB575 - INTEL CORE I9 13900H - 16GB DDR4 - 1 TERA SSD - 16,0"" WUXGA",3869999.0
Portátil Zenbook S 16 OLED | AMD Ryzen AI 9 | 32GB de RAM | 1TB SSD de almacenamiento | Windows 11 |16 Pulgadas | UM5606WA-RJ247W | Computador portátil,8499900.0
V14 INTEL CORE I7-1255U SSD 512GB RAM 16GB LED 14 FULL HD,2609900.0
"IDEAPAD AMD RYZEN 7-5700U SSD 2TB RAM 20GB LED 14"" FHD.",2599900.0
"PORTATIL INTEL CORE I5-12450H SSD 512GB RAM 16GB LED 15,6 FULL HD",1569900.0
"LOQ AMD RYZEN 7-7435HS RTX 4050 6GB SSD 1TB RAM 24GB LED 15,6"" FHD",4703020.0
"ASPIRE INTEL CORE I3-1215U SSD 512GB RAM 24GB LED 15,6 FULL HD",1474900.0
"PORTÁTIL AL14-31P-C0S2 INTEL N100 - 8GB LPDDR5 - 256GB SSD - PANT14"" HD - WINDOWS 11 - SILVER",899900.0
"VICTUS AMD RYZEN 7-7840HS SSD 1TB RAM 16GB RTX 3050 6GB LED 16.1"" FHD 144Hz",5159900.0
PORTATIL M3504YA RYZEN 7 7730U 16gb 1TB 16 IPS VIVOBOOK,2559000.0
Portátil Intel Core i7 1255U 20GB 1TB HD 15.6 Win 11,2559000.0
14-DQ5110LA CORE I3 1215U 8GB SSD 256GB 14 HD.,1189000.0
"Portátil 440 G10 Intel Core I7 1355U /Ram 16GB /512GB SSD /14"" /W11P",4649000.0
"PORTATIL 15 EF2517LA AMD RYZEN 5 5500U 12GB DDR4 512GB SSD PAN15,6"" HD AZUL INDIGO 7H9U4LA#ABM",1419900.0
Portátil OMEN Transcend | Intel Core Ultra 9 | 32GB RAM | 2TB SSD Almacenamiento| Windows 11 | 14 pulgadas | 14-fb0004la| Computador portátil | NVIDIA GeForce RTX 4070,11999000.0
"IDEAPAD INTEL CORE I7-13620H SSD 1TB RAM 16GB LED 15,6 FULL HD",3139900.0
"INSPIRON 15 INTEL CORE I7-1255U SSD 512GB RAM 40GB LED 15,6"" FHD",3129900.0
"PORTATIL VIVOBOOK INTEL CORE I3-1215U SSD 512GB RAM 24GB LED 15,6 FULL HD",1559900.0
"PORTATIL VIVOBOOK INTEL CORE I3-1215U SSD 1TB RAM 16GB LED 15,6 FULL HD",1589900.0
Portátil Zenbook 14 OLED | Intel Core Ultra 5 | 16GB de RAM | 512GB SSD de almacenamiento | Windows 11 |14 Pulgadas | UX3405MA-PP550W | Computador portátil,4199900.0
Portátil Gamer G5535 Ryzen7 7840hs Ram32GB SSD512GB RTX4050 15.6 Win 11,5349900.0
"INSPIRON 15 INTEL CORE I7-1255U SSD 1TB RAM 40GB LED 15,6"" FHD",3242900.0
"Portátil Ideapad Slim 3 Intel Core I3 8GB 512GB 15.6""",1499900.0
Portátil 245 G9 AMD Ryzen 3 8GB 256GB SSD 14” Windows,1059000.0
"ASPIRE INTEL CORE I3-1215U SSD 512GB RAM 24GB LED 15,6 FULL HD",1474900.0
"INSPIRON 15 INTEL CORE I7-1255U SSD 1TB RAM 16GB LED 15,6"" FHD",3139900.0
"PORTATIL V14 G4 AMN - AMD RYZEN 3 7320U - 16GB LPDDR5 - 256GB SSD - PANT 14"" FHD RJ45 - GREY",1099900.0
Portátil Pavilion | Intel® Core¿ 7 | 16GB RAM | 512GB SSD Almacenamiento| Windows 11 | 14 pulgadas | 14-ek2002la| Computador portátil,4299000.0
PORTATIL ASPIRE INTEL CORE I7-1255U SSD 512GB RAM 16GB LED 16 FULL HD,2339900.0
"PORTATIL AMD RYZEN 7-7730U SSD 512GB RAM 16GB LED 15,6 FHD",2338900.0
Portátil Vivobook Go 15 E1504FA Ryzen 5 7520u Ram 16gb PCIe 1Tb,2199000.0
"Portátil Slim Amd Ryzen 7 7730u Ram 16gb Ssd 512gb 15,6¨ Fhd",2199999.0
"PORTATIL HP VICTUS 15-FB0134LA RYZEN 5 5600H RAM 8GB DDR4 512GB SSD PAN 15,6"" FHD GTX 1650 4GB",2099900.0
"E1504FA-NJ940 - AMD RYZEN 5 7520U - 16GB LPDDR5 - 1 TERA SSD - PANT 15,6"".",1869900.0
PORTATIL 14-DQ5016LA INTEL CORE I5 1235U RAM 20GB DDR4 SSD 1TB M2 14 PULGADAS FHD,2099900.0
PORTATIL INTEL CORE I5-1135G7 SSD 512GB RAM 32GB LED 156 FHD,2139900.0
"PORTATIL INSPIRON 3520 15.6"" INTEL CORE I5 1235U 32GB/ SSD 1TB M.2.",2299900.0
"Portátil Inspiron 3525 AMD Ryzen 7 5700U DDR4 16GB SSD 512GB 15.6"" FHD",2049000.0
"Portatil Intel Core i5 1235H - Ram 24Gb - SSD 1TB - Win 11 - 14"" FHD.",2149900.0
"Portatil Gamer tuf fx507 Intel I7 13620H 16 GB 1 TB SSD 15,6 Win 11 Home RTX 4070 8 GB",6799900.0
"Portatil Gamer tuf fx507 Intel I7 13620H 32 GB 1 TB SSD 15,6 Win 11 Home RTX 4070 8 GB",6999900.0
Portátil IdeaPad Slim 3 AMD Ryzen 5 8GB 512GB 15.6” Azul,1679900.0
Portátil Intel Core I5 - 1235U / 16G Ram / 512G ssd / Iris X / 14 FHD,1690000.0
"PORTATIL INSPIRON 3520 CORE I5 1235U 8GB/512SSD/15.6"" PLATEADO",1649000.0
PORTATIL INTEL CORE I3-1215U SSD 1TB RAM 8GB LED 14 HD,1609900.0
Portátil Vivobook 16 X1605VA-MB929 Inte i9-13900H RAM 24GB 1TB SSD 16,3965999.0
Portátil Vivobook Go 15 | Intel Core i3 | 8GB de RAM | 512GB SSD de almacenamiento | Windows 11 | 15.6 Pulgadas | E1504GA-NJ092W | Computador portátil,1399900.0
Portátil Inspiron 3520 / Intel Core i5 1235U / 8G Ram / 512G ssd / 15.6 FHD / W11.,1659000.0
Portátil Intel Core I5 1235U RAM 8GB SSD 512GB 14 Pulgadas Computador Portátil,1589900.0
"Portátil Rysen 5 5500U RAM12GB SSD 512GB 15,6 Pulgadas Computador Portátil",1679999.0
"PORTATIL HP 15 EF2517LA AMD RYZEN 5 5500U 20GB DDR4 512GB SSD PAN15,6"" HD AZUL INDIGO",1499900.0
"Portatil IP 3 15ALC7 Amd Ryzen 5 5500U 15.6"" FHD DDR4 8GB SSD 512GB",1519000.0
Portátil Vivobook 16 | Intel Core i9 | 16GB de RAM | 1TB SSD de almacenamiento | Windows 11| 16 Pulgadas | X1605VA-MB493W | Computador portátil,3899000.0
"PORTATIL INSPIRON 3520 15.6"" INTEL CORE I3 1235U 16GB/ SSD 512GB M.2",1539900.0
"Portátil Inspiron 3520 CORE I7 1255U DDR4 16GB SSD 512GB Pantalla 15"" FHD Grafica Iris Plus XE",3499900.0
"PORTATIL INSPIRON 3520 15.6"" INTEL CORE I5 1235U 64GB/ SSD 512GB M.2",2419900.0
Portátil Legion Pro 5 Intel Core i9 16GB 1TB Nvidia GF RTX 4070,9149900.0
Portátil Yoga Slim 7 Core Ultra 7 32GB 1TB 14 Pulgadas,5399900.0
Portátil Gamer ROG Strix G17 | GeForce RTX 4060 | AMD Ryzen 9 | 16GB de RAM | 512GB SSD de almacenamiento | Windows 11 | 15.6 Pulgadas | G713PV-HX118W | Computador Portátil Gamer,7299900.0
Computador Portatil Amd Ryzen 5 5600h Mem 40gb + Ssd 512gb Rx 5500m,5489984.0
"Portatil TUF Gaming A15 Ryzen 5 7535hs 24gb ram 512Gb ssd RTX 2050 pantalla 15,6"" FHD 144hz",2850240.0
"PAVILION AMD RYZEN 7-7730U SSD 1TB RAM 16GB LED 15,6 FULL HD",2701900.0
"PORTATIL AMD RYZEN 7-7730U SSD 4TB RAM 8GB LED 15,6 FHD",3839900.0
Portátil Nitro AN515 Core i5 12450H DDR4 8GB SSD 512GB TV RTX 3050 4GB,3299000.0
INSPIRON 3535 AMD RYZEN 5 7520U LPDDR5 8GB SSD 512GB,1539000.0
PORTATIL ASPIRE INTEL CORE I7-1255U SSD 1TB RAM 24GB LED 16 FULL HD,3039900.0
Portátil Gaming LOQ AMD Ryzen 7 24GB 512GB Nvidia GF - Gris,4449900.0
"PORTATIL INTEL CORE I5-12450H SSD 2TB RAM 24GB LED 15,6 FULL HD",2649900.0
"Portatil K513Ea-Bq2213 Core I7 8 GB Ssd 512GB 15,6 Pulgadas Fhd Endless",3219900.0
PORTATIL X1504ZA NJ1200 INTEL CORE I3 1215U 12GB SSD 512GB PANTALLA DE 15.6 FHD,1439900.0
Portátil Inspiron Core i3 Ram 8GB SSD 512GB Linux Plata,1386900.0
"ASPIRE INTEL CORE I3-1215U SSD 1TB RAM 16GB LED 15,6 FULL HD",1699900.0
Portatil Gamer Loq R7 7435hs 64gb Ram 1 TB SSD Gb 15.6 FHD Ips 144hz Rtx 4050 6GB Win 11.,5699900.0
"PORTATIL GAMER FX517ZC COREI5 12500H 1TB SSD 24GB 15,6 RTX 3050 4GB",3999900.0
"PORTATIL INTEL CORE I5-12450H SSD 1TB RAM 32GB LED 15,6 FULL HD",2539900.0
"NITRO INTEL CORE I5-11400H SSD 2TB RAM 64GB RTX 3050 4GB 15,6"" FHD 144Hz",6043900.0
PORTATIL INTEL CORE I5-1235U SSD 512GB RAM 16GB LED 14 HD PLATA,1879900.0
"PORTATIL AMD RYZEN 5-7520U SSD 1TB RAM 8GB LED 15,6 TOUCH FHD",2499900.0
