Nombre,Precio
"Portátil Inspiron 3520 Intel Core I7 1255U Ram 32 SSD 512GB 15,6"" FHD 120Mhz",2479900.0
Portátil Vivobook Go 15 | Intel Core i3 | 8GB de RAM | 512GB SSD de almacenamiento | Windows 11 | 15.6 Pulgadas | E1504GA-NJ092W | Computador portátil,1349900.0
Portátil Ideapad Slim 3 | Intel Core i5 Serie H | 16GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas Touch | IP Slim 3 | Computador Portátil,2349900.0
Portátil Pavilion x360 2 en 1 | Intel Core i5 | 8GB RAM | 512GB SSD Almacenamiento| Windows 11 | Pantalla Táctil de 14 pulgadas | 14-ek0008la | Computador portátil,2149000.0
"Portátil Vivobook Go E1504GA-NJ103 Intel Core i3 Ram 8 GB Ssd 512 GB Pantalla 15,6″",1269000.0
Portátil Vivobook Go 15 | AMD Ryzen 5 | 8GB de RAM | 1TB SSD de almacenamiento | Windows 11 |15.6 Pulgadas | E1504FA-NJ749W | Computador portátil,1699900.0
Computador Portatil Galaxy Intel Core I7 11600h Mem 8gb + Ssd 1tb Rtx 3050,5439934.0
Portátil Ideapad Slim 3 | Intel Core i5 Serie H | 8GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 14 pulgadas | IP Slim 3 | Computador Portátil,1899900.0
"Portátil Inspiron 3520 Intel Core I7 1255U Ram 32 SSD 512GB 15,6"" FHD 120Mhz",2479900.0
Portatil Ryzen 7 5700u Ram 20gb Ssd 512gb Fhd Ideapad 3,1849900.0
Portátil | AMD Ryzen 5 | 8GB RAM | 512GB SSD Almacenamiento |Windows 11 | 14 pulgadas | 14-em0017la | Computador portátil,1899000.0
Portátil | Intel Core Ultra 5 H | 8GB RAM | 512GB SSD Almacenamiento| Windows 11 | 14 pulgadas | 14-ep1001la | Computador portátil,2099000.0
"Portatil 240 G9 Intel Celeron 8GB - 256GB - 14"" HD",905000.0
Portátil Zenbook S 16 OLED | AMD Ryzen AI 9 | 32GB de RAM | 1TB SSD de almacenamiento | Windows 11 |16 Pulgadas | UM5606WA-RJ247W | Computador portátil,8499900.0
Portátil Aspire 3 | AMD R5 | 16GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas | A315-24PT-R0BT | Computador portátil,2149000.0
PORTATIL AMD RYZEN 7-7730U SSD 1TB RAM 24GB LED 14 FULL HD,2299900.0
PORTATIL INTEL CORE i5-13420H SSD 1TB RAM 40GB LED 14 FULL HD,2373900.0
PORTATIL INTEL CORE i5-13420H SSD 1TB RAM 24GB LED 14 FHD,2224900.0
PORTATIL INTEL CORE i5-13420H SSD 512GB RAM 16GB LED 14 FULL HD,1899900.0
Portátil Vivobook 15 | AMD Ryzen 7 | 16GB de RAM | 512GB SSD de almacenamiento | Windows 11 |15.6 Pulgadas | M1502YA-NJ180W | Computador portátil,2299900.0
Portátil Vivobook 16 | Intel Core i9 | 16GB de RAM | 1TB SSD de almacenamiento | Windows 11| 16 Pulgadas | X1605VA-MB493W | Computador portátil,3999900.0
"ASPIRE INTEL CORE I3-1215U SSD 512GB RAM 16GB LED 15,6 FULL HD",1419900.0
"INSPIRON INTEL CORE I3-1215U SSD 512GB RAM 24GB LED 15,6 HD",1449900.0
"PORTATIL INTEL CORE I5-1235U SSD 512GB RAM 32GB LED 15,6 FULL HD",2139900.0
PORTATIL ASPIRE INTEL CORE I7-1255U SSD 512GB RAM 16GB LED 16 FULL HD,2349900.0
"PORTATIL INTEL CORE I7-1255U SSD 512GB RAM 16GB LED 15,6 FHD PLATA",2449900.0
Portátil Gamer Nitro 5|Geforce RTX 3050|Intel Core i5 | 8GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas | AN515-58-51S2 | Computador portátil,3599000.0
Computador Portatil Amd Ryzen 5 5600h Mem 40gb + Ssd 512gb Rx 5500m,5489984.0
"Portatil TUF Gaming A15 Ryzen 5 7535hs 32gb ram 1Tb ssd RTX 2050 pantalla 15,6"" FHD 144hz",3428000.0
Portátil Vivobook 15 | Intel Core i3 | 8GB de RAM | 512GB SSD de almacenamiento | Windows 11 |15.6 Pulgadas | X1504ZA-NJ1198W | Computador portátil,1699000.0
"IDEAPAD INTEL CORE I7-13620H SSD 2TB RAM 16GB LED 15,6 FULL HD",3389900.0
"PORTATIL IP S3 INTEL CORE I3 N305 8GB / 512SSD / 15,6",1405000.0
Computador Portatil Intel Core I3 1215u Mem 12gb Ssd 512gb,1515990.0
Computador Portatil Amd Ryzen 5 5600h Ssd 256gb Mem 8gb Oled Fhd,2559857.0
"PORTATIL INTEL CORE I5-12450H SSD 512GB RAM 24GB LED 15,6 FULL HD",1999900.0
PORTATIL INTEL CORE I9-13900H SSD 1TB RAM 40GB LED 16 FULL HD,4389900.0
Portátil Vivobook go 15 Amd Ryzen 5 7520U 16G Ram 1TB SSD 15.6 FHD,1949000.0
Portátil V14 G3 Core i5 1235U 24GB 512GB FHD 14 Iris,1749000.0
"PORTATIL 3 14ALC6 AMD RYZEN 7 5700U 20GB DDR4 512GB SSD PAN 14"" FHD",1883999.0
"Portatil VivoBook k513 Intel Ci7 1165G7 Ram 20GB SSD512Gb 15.6"" Iris Xe",3238900.0
Portátil Intel Dual Core N4500 Ram 16gb 1tb Ssd 14,1349848.0
Portátil Tuf F15 Intel Core i5 12500H RAM 32GB SSD 512GB RTX 3050 15.6 Pul Computador Portátil,3959900.0
"PORTATIL INSPIRON INTEL CORE I5-1235U SSD 1TB RAM 24GB LED 15,6 FULL HD",2244900.0
PORTATIL AMD RYZEN 7-7730U SSD 2TB RAM 40GB LED 16 FULL HD,3259900.0
Portátil Gaming LOQ AMD Ryzen 7 24GB 512GB Nvidia GF - Gris,4499900.0
Portátil Vivobook 15 | Intel Core i3 | 8GB de RAM | 512GB SSD de almacenamiento | Windows 11 |15.6 Pulgadas | X1504ZA-NJ1198W | Computador portátil,1699000.0
"Portátil Intel Celeron N4000 RAM 4 GB DISCO 500 HDD 14"" NEGRO.",689800.0
PORTATIL INTEL CORE I9-13900H SSD 1TB RAM 24GB LED 16 FULL HD,4239900.0
Portatil Gamer Tuf 15 Amd R5 7535hs Ram 24gb Ddr5 Ssd 1tb Rtx 2050 4gb 144 hz,3399950.0
"PORTATIL AMD RYZEN 7-7730U SSD 2TB RAM 40GB LED 15,6 FHD",3399900.0
Portátil Intel Core I3 1215U RAM 16GB SSD 512GB 14 Pulgadas Computador Portátil,1473000.0
"PORTATIL 245 G9 AMD RYZEN 5 5625U 8GB DDR4 256GB SSD PAN 14"" HD CENIZA OSCURO",1348999.0
Portátil Intel Dual Core N4500 Ram 16gb 512gb Ssd 140 hd,1229829.0
Portátil Intel Dual Core N4500 Ram 8gb Ssd 512gb 14 hd,1135989.0
"Nitro v15 i5 13420h 16gb 512gb rtx 4050 6gb pantalla 15,6"" FHD 144hz + FORRO PROTECTOR",3939000.0
Portátil Tuf F15 Intel Core l5 12500H RAM 16GB SSD 512GB RTX 3050 15.6 Pul Computador Portátil,3799900.0
"VICTUS AMD RYZEN 7-8845HS RTX 4070 8GB SSD 2TB RAM 40GB LED 16"" FHD 144Hz",7079900.0
"PORTATIL AMD RYZEN 7-7730U SSD 512GB RAM 16GB LED 15,6 FHD",2449900.0
Portatil intel dual core n4500 ram 16gb ssd 256gb 14 hd,1089999.0
"Portatil Gamer tuf fx507 Intel I7 13620H 32 GB 1 TB SSD 15,6 Win 11 Home RTX 4070 8 GB",6999800.0
Portatil Latitude Intel Core Ultra 7 155U RAM 24gb SSD 512gb Win11 Pro 15.6,6949900.0
"G15 INTEL CORE I7-13650HX RTX 4060 8GB SSD 2TB RAM 40GB LED 15,6"" FHD 120Hz",6989900.0
"INSPIRON INTEL CORE I3-1215U SSD 1TB RAM 24GB LED 15,6 HD",1736900.0
Portatil Latitude 5440 Intel Core I7 16Gb 512 Gb,6869900.0
Portátil Intel Core i5 1235U RAM 16GB SSD 512GB 14Pul FHD V14 G3 Computador Portátil,2999900.0
"PORTATIL 240 G9 INTEL CELERON N4500 8GB 256GB SSD 14"" HD",919500.0
"Portatil Gamer tuf fx507 Intel I7 13620H 64 GB 1 TB SSD 15,6 Win 11 Home RTX 4070 8 GB",7299800.0
PORTATIL VIVOBOOK X1504 INTEL CORE I5 1235U 16GB 1TB SSD WIN11,2409900.0
Portátil R5 5500u 8gb Ram 512gb Disco Solido Fhd,1665900.0
"Portátil 440 G10 Intel Core I7 1355U /Ram 16GB /512GB SSD /14"" /W11P",4649000.0
"LOQ AMD RYZEN 7-7435HS RTX 4050 6GB SSD 512GB+512GB RAM 32GB LED 15,6"" FHD",4799000.0
